Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mercedes-Benz,A180,No,N/A,"59,094",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190077/2013-mercedes-benz-a180-5d-hatch?referringPage=SearchResults
Honda,fit,No,$850,"136,585",1," Right Side Damage, Structural Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190112/2015-honda-fit-hatch?referringPage=SearchResults
Toyota,Vitz,Yes,"$2,550","67,308",0," Left Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190113/2008-toyota-vitz-hatch?referringPage=SearchResults
Mazda,CX-7,Yes,"$1,000",N/A,," Not Driveable, No Keys, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007170132/2007-mazda-cx-7-station-wagon?referringPage=SearchResults
Toyota,Camry,No,N/A,N/A,1," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007190281/2012-toyota-camry-sedan?referringPage=SearchResults
Honda,Vezel,No,"$1,650",N/A,1," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007180344/2014-honda-vezel-hatch?referringPage=SearchResults
Toyota,Aqua,No,"$1,500","79,740",1," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007170529/2015-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Nissan,Caravan,No,$650,"265,544",1," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",6,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007170631/2007-nissan-caravan-van?referringPage=SearchResults
Toyota,Dyna,No,$0,N/A,1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",6,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007170638/2017-toyota-dyna-4x2-double-cab-flat-deck?referringPage=SearchResults
Toyota,Markx,Yes,$900,N/A,," Left Rear Damage, Left Side Damage, No Keys, Right Front Damage, Right Side Damage, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007170655/2008-toyota-markx-250g-sedan?referringPage=SearchResults
Toyota,2.8 Diesel VAN,No,"$1,200","606,218",1," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",3,N/A,https://manheim.co.nz/damaged-vehicles/000000000007190694/1995-toyota-2-8-diesel-van-van?referringPage=SearchResults
Toyota,RAV4,No,$900,"174,791",1," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190723/2005-toyota-rav4-station-wagon?referringPage=SearchResults
Honda,Integra,No,$500,"155,812",1," Ignition Damage, Left Front Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190765/1995-honda-integra-sedan?referringPage=SearchResults
Nissan,Juke,Yes,$850,"81,905",1," Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190823/2016-nissan-juke-hatch?referringPage=SearchResults
Toyota,Prius,No,"$1,400","236,168",1," Left Rear Damage, Left Side Damage, Rear Damage, Right Rear Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007170920/2014-toyota-prius-alpha-station-wagon?referringPage=SearchResults
Nissan,Presage,No,$500,"340,517",1," Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190993/2007-nissan-presage-station-wagon?referringPage=SearchResults
Toyota,Prius,No,"$1,450","438,556",1," Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007181014/2011-toyota-prius-hatch?referringPage=SearchResults
KTM,390,No,$500,N/A,0," Frame Damaged, Vandalised - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181054/2024-ktm-390-duke-motorcycle?referringPage=SearchResults
Kia,Sportage,No,N/A,"126,986",0," Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007181080/2016-kia-sportage-lx-2-0d-4wd-6at-sw--station-wagon?referringPage=SearchResults
Honda,Jazz,No,$0,N/A,0," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181111/2006-honda-jazz-hatch?referringPage=SearchResults
Subaru,Legacy,No,$700,N/A,1," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007191206/2007-subaru-legacy-sedan?referringPage=SearchResults
BMW,320i,Yes,N/A,N/A,," No Keys, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007171230/2012-bmw-320i-touring?referringPage=SearchResults
Nissan,NV350,No,N/A,"173,570",," Drives, Has Key, Selling Registered",N/A,6,N/A,https://manheim.co.nz/damaged-vehicles/000000000007191307/2015-nissan-nv350-caravan-4d-van?referringPage=SearchResults
KTM,390,Yes,$0,N/A,1, Selling Registered,"Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007201356/2021-ktm-390-adventure-motorcycle?referringPage=SearchResults
Mazda,Demio,No,$0,N/A,1," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007201365/2013-mazda-demio-hatch?referringPage=SearchResults
Mazda,Axela,No,$600,N/A,1," Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007201367/2011-mazda-axela-hatch?referringPage=SearchResults
